"Comuna","COD_COM","Poblacion","SEM INICIO","semana_max","P_HACINAMIENTO","P_HACINAMIENTO_C","DENSIDAD","VIAJES_ORI","P_VIAJES_ORI","DIF_IME","N_POB","P_POB","sem_max_posi","SEMANA_Entro","dif_cuar_peak","EST_POB","var_salidas","semana_max_n","max_contagios","tasa_max_contagios"
"Buin",13402,109641,17,23,7.46,0.59,444.2,1981.7405019,79.89,-40.2644009970772,18.277,25,22,20,3,13.6810134894793,56.1448453698361,23,285,259
"Cerrillos",13102,88956,16,23,8.7,0.94,4818.8,3315.6815391,41.22,-33.5826142397452,14.432,27,22,18,5,7.86905886056028,71.5439395403623,23,353,396
"Cerro Navia",13103,142465,16,22,12.84,1.83,11949.6,4310.96454895,43.96,-18.8774316984488,40.51,35,22,19,3,5.61541431228723,69.7929345251329,22,792,555
"Colina",13301,180353,17,21,7.47,0.53,150.6,3134.87625955,30.13,-52.0376674184114,30.158,26,22,20,1,7.208086363964,45.6192484144073,22,624,345
"Conchali",13104,139195,14,21,10.44,1.53,11427.9,4267.11542994,42.53,-48.4518062515225,26.03,29,22,19,2,8.62099931750422,65.8383650498081,20,729,523
"El Bosque",13105,172000,14,23,10.22,1.04,11344.6,5977.67351385,46.23,-26.3396899475941,32.115,23,23,16,7,6.97674418604651,68.6585080742106,23,854,496
"Estacion Central",13106,206792,14,22,11.87,2.86,10244.4,7748.77934073,54.26,-60.7764753184541,19.907,24,22,18,4,6.77008781771055,68.5521320355856,22,760,367
"Huechuraba",13107,112528,16,21,8.1,1.01,2197.5,4805.26149294,52.99,-48.9817809530209,23.744,29,22,20,1,7.1093416749609,56.2843586853693,20,511,454
"Independencia",13108,142065,15,20,13.56,2.49,13627.2,6733.53285606,65.84,-47.1319819531223,8.522,21,22,13,7,7.74293457220286,65.8876053001969,19,800,563
"La Cisterna",13109,100434,16,22,6.35,0.69,9030.7,4949.901475585,57.03,-37.9766688216583,10.129,18,22,19,3,5.97407252524046,63.3001030444362,22,454,452
"La Florida",13110,402433,14,22,5.59,0.52,5180.7,15542.895546625,46.98,-47.8413816849481,70.646,19,23,19,3,7.7031456167859,64.9743985018138,21,1754,435
"La Granja",13111,122557,17,21,10.54,1.3,11553.6,3904.38053286,40.81,-54.8684238734687,23.351,22,22,19,2,7.34352178986104,68.5579506872508,21,1032,842
"La Pintana",13112,189335,14,22,13.15,1.26,5823.6,4863.854005267,35.36,-30.0098283823847,61.996,33,22,18,4,6.86613674175403,78.8830206337268,22,1449,765
"La Reina",13113,100252,17,21,3.21,0.42,3958.8,5117.9818284574,71.56,-49.6480008700257,5.814,7,22,20,1,9.97486334437218,50.1447326968251,21,309,308
"Lampa",13302,126898,16,22,8.44,0.74,226.7,4008.493272445,35.36,-24.995928062909,19.784,26,21,20,2,4.72820690633422,56.9157763771459,23,440,346
"Las Condes",13114,330759,11,21,1.71,0.18,2977,21658.4646744035,76.37,-61.3317373122534,11.776,4,22,13,8,7.86070824981331,44.9136907923471,21,782,236
"Lo Barnechea",13115,124076,11,22,3.44,0.37,103.4,3410.455897035,67.38,-52.7097230537503,19.696,17,22,13,9,8.86553402753151,41.6164416029739,23,458,369
"Lo Espejo",13116,103865,14,23,12.07,1.74,11986.6,2758.0913847701,38.21,-22.981457242804,31.496,38,23,19,4,7.70230587782217,72.563653393963,23,562,541
"Lo Prado",13117,104403,13,22,11.34,1.92,14672.9,4224.01532308,51.77,-32.8827853653951,19.181,25,22,19,3,7.66261505895424,71.0127025389883,22,634,607
"Macul",13118,134635,16,21,5.97,0.75,9074.2,7726.3417251,59.15,-49.2710773815791,11.054,14,22,19,2,5.94199130983771,62.6933407226051,21,666,494
"Maipu",13119,578605,14,23,4.86,0.3,3788.7,18275.194442386,39.98,-43.951595354482,142.225,13,22,20,3,5.01205485607625,61.0160258444334,23,1859,321
"Nunoa",13120,250192,11,22,2.6,0.31,12353,16935.749548131,71.74,-51.6857471201211,7.251,6,22,13,9,7.19447464347381,52.987232598208,21,783,312
"Padre Hurtado",13604,74188,17,22,8.08,0.57,780.2,928.75656721,41.28,-23.7405580005146,11.587,22,22,20,2,2.69585377689114,58.4544343908814,23,287,386
"Pedro Aguirre Cerda",13121,107803,13,23,10,1.07,11553.8,4709.73053322,55.97,-38.0074169794572,19.489,27,23,17,6,8.3485617283378,72.4993605259038,23,579,537
"Penalolen",13122,266798,16,21,8.47,1.15,4506.9,10741.161371859,56.46,-39.1844509618391,61.194,26,22,19,2,7.12149266486256,59.1549877231667,21,1662,622
"Providencia",13123,157749,11,21,2.23,0.49,9873.1,16915.561015714,79.9,-67.8889206402725,3.858,3,22,13,8,30.4280851225681,48.0441358533318,22,443,280
"Pudahuel",13124,253139,16,22,8.11,0.8,1167.5,7798.602838189,40.96,-38.2821136331126,64.87,23,22,20,2,7.90079758551626,60.8579261445271,23,1333,526
"Puente Alto",13201,645909,13,22,6.78,0.39,6439.5,20593.047013509,41.25,-28.7703094441513,196.738,23,22,15,7,4.79943769168722,66.7800326989127,23,2849,441
"Quilicura",13125,254694,15,22,7.11,0.36,3670.7,5160.319733965,28.56,-44.1702580683833,47.098,18,23,18,4,6.67467627820051,69.9482278012758,23,1109,435
"Quinta Normal",13126,136368,13,22,9.07,1.5,9311.9,6498.633808698,66.01,-46.1119838309855,17.018,24,23,17,5,6.59978880675818,68.0101737020225,22,781,572
"Recoleta",13127,190075,15,20,13.17,3.04,10000.2,8313.800989944,56.68,-53.8155603154593,23.16,23,21,18,2,4.73497303695909,71.1520723372102,19,1205,633
"Renca",13128,160847,15,24,10.57,0.99,6194.4,5589.24384569,44.48,-43.1888705929917,28.131,25,22,19,5,4.35196180220955,68.3895024933393,25,899,558
"San Bernardo",13401,334836,14,23,9.42,0.8,1970.9,7693.51802343,32.03,-44.3419033570317,85.04,26,23,16,7,9.2582637470284,72.051171947399,23,1444,431
"San Joaquin",13129,103485,13,21,9.56,1.41,9504.2,4868.5485999,53.38,-50.5314082193908,12.5,21,22,19,2,11.5958834613712,64.8129273045525,20,662,639
"San Miguel",13130,133059,12,22,5.23,0.58,11229.8,5735.05419672,47.24,-40.7685821023346,10.157,17,22,19,3,9.7701019848338,57.8571275248948,23,660,496
"San Ramon",13131,86510,16,21,12.67,1.91,13207.6,2810.49270115,42.35,-22.6654031328965,19.84,28,21,18,3,9.24748583978731,80.4994381793655,20,562,649
"Santiago",13101,503147,13,20,10.62,2.77,17485.2,38687.460359183,63.17,-66.1707369971852,11.848,10,22,13,7,8.94370829996005,57.7715510103613,21,1905,378
"Vitacura",13132,96774,10,20,0.79,0.1,3003.8,3858.749408355,73.85,-64.3917116722115,2.451,4,21,13,7,11.3666894000455,44.3967816500713,20,222,229
