"X1","Comuna","COD_COM","Poblacion","p_hacina","p_hacina_c","densidad","p_pob","sem_cuar","IVS","tasa_max","tasa_est","error","sem13","sem20","mov80","mov40","mov20","tasa_sem13","tasa_sem20","var_tasa_sem13","var_tasa_sem20","tasa_mov80","tasa_mov40","tasa_mov20","var_tasa_mov80","var_tasa_mov40","var_tasa_mov20"
1,"Buin",13402,109641,7.46,0.59,444.2,25,20,56.1448453698361,259,423.340410473241,38.8199204251561,13,20,80,40,20,369.999493491438,435.913239324597,42.8569472939914,68.3062700094969,636.427848551382,266.525884449378,81.5749023983768,145.725038050727,2.90574689165191,-68.5038986878854
2,"Cerrillos",13102,88956,8.7,0.94,4818.8,27,18,71.5439395403623,396,542.160388841626,26.9588837269928,13,20,80,40,20,496.770090630597,562.683836463756,25.4469925834842,42.0918778948879,629.512780205724,259.610816103721,74.659834052719,58.9678737893242,-34.4417131051211,-81.1465065523437
3,"Cerro Navia",13103,142465,12.84,1.83,11949.6,35,19,69.7929345251329,555,556.757857153307,0.315731000599613,13,20,80,40,20,503.831336134289,569.745081967448,-9.21957907490293,2.65677152566628,666.374885783906,296.472921681903,111.521939630901,20.0675469880911,-46.5814555528103,-79.9059568232611
4,"Colina",13301,180353,7.47,0.53,150.6,26,20,45.6192484144073,345,329.799309575914,4.6090728460385,13,20,80,40,20,271.262920512317,337.176666345476,-21.373066518169,-2.26763294334027,619.406751610082,249.504787508079,64.5538054570771,79.5381888724875,-27.6797717367888,-81.2887520414269
5,"Conchali",13104,139195,10.44,1.53,11427.9,29,19,65.8383650498081,523,522.509631325384,0.0938487341127109,13,20,80,40,20,468.420939528954,534.334685362113,-10.4357668204676,2.16724385508859,656.58516898095,286.683204878947,101.732222827945,25.5420973194934,-45.1848556636812,-80.5483321552686
6,"El Bosque",13105,172000,10.22,1.04,11344.6,23,16,68.6585080742106,496,498.729197801914,0.547230403582328,13,20,80,40,20,469.027648543531,534.941394376689,-5.43797408396559,7.85108757594545,610.104934784129,240.202970682125,55.2519886311235,23.0050271742195,-51.5719817173135,-88.8604861630799
7,"Estacion Central",13106,206792,11.87,2.86,10244.4,24,18,68.5521320355856,367,588.160733004515,37.6020908221388,13,20,80,40,20,541.92583999799,607.83958583115,47.6637166207058,65.6238653490871,699.430725854238,329.528761752235,144.577779701234,90.580579251836,-10.2101466615163,-60.6055096181925
8,"Huechuraba",13107,112528,8.1,1.01,2197.5,29,20,56.2843586853693,454,437.118810144278,3.86192254004119,13,20,80,40,20,377.27308450351,443.186830336669,-16.9002016512093,-2.38175543245172,644.878553299662,274.976589197659,90.0256071466573,42.0437342069741,-39.4324693397227,-80.1705711130711
9,"Independencia",13108,142065,13.56,2.49,13627.2,21,13,65.8876053001969,563,492.629375299372,14.2846992544574,13,20,80,40,20,485.929116439044,551.842862272203,-13.6893221245037,-1.98172961417352,642.876376580831,272.974412478828,88.0234304278264,14.1876334957071,-51.5143139469222,-84.3652876682369
10,"La Cisterna",13109,100434,6.35,0.69,9030.7,18,19,63.3001030444362,452,456.384961198485,0.960803175233896,13,20,80,40,20,401.736242402202,467.649988235361,-11.1203003534951,3.46238677773478,623.020303709359,253.118339607356,68.1673575563548,37.8363503781768,-44.0003673435052,-84.9187262043463
11,"La Florida",13110,402433,5.59,0.52,5180.7,19,19,64.9743985018138,435,480.545598104202,9.47789310398085,13,20,80,40,20,427.456638713304,493.370384546463,-1.73410604291851,13.4184792060836,618.607604994527,248.705640892523,63.7546588415212,42.2086448263279,-42.8262894499948,-85.3437565881561
12,"La Granja",13111,122557,10.54,1.3,11553.6,22,19,68.5579506872508,842,528.475893944229,59.3260940845975,13,20,80,40,20,475.670403061715,541.584148894874,-43.507078021174,-35.6788421740055,646.992638780702,277.090674678699,92.1396926276971,-23.160019147185,-67.0913688030049,-89.0570436309148
13,"La Pintana",13112,189335,13.15,1.26,5823.6,33,18,78.8830206337268,765,601.981075477709,27.0804068704196,13,20,80,40,20,556.311616839257,622.225362672416,-27.2795272105547,-18.6633512846515,638.480478166968,268.578514064965,83.6275320139629,-16.5384995860173,-64.8916975078478,-89.068296468763
14,"La Reina",13113,100252,3.21,0.42,3958.8,7,20,50.1447326968251,308,383.76244496805,19.7420164378923,13,20,80,40,20,321.295752174531,387.20949800769,4.31680265406864,25.7173694830163,629.232818664583,259.33085456258,74.3798725115785,104.296369696293,-15.8016705965649,-75.850690742994
15,"Lampa",13302,126898,8.44,0.74,226.7,26,20,56.9157763771459,346,424.035599298605,18.4030773424881,13,20,80,40,20,361.276907292464,427.190653125623,4.41529112498963,23.465506683706,631.730379760856,261.828415658853,76.8774336078512,82.5810346129641,-24.3270474974414,-77.7810885526441
16,"Las Condes",13114,330759,1.71,0.18,2977,4,13,44.9136907923471,236,296.793683886101,20.4834830344407,13,20,80,40,20,285.479811027221,351.39355686038,20.9660216217037,48.8955749408389,569.05824115191,199.156277049907,14.2052949989051,141.126373369453,-15.6117470127514,-93.9808072038538
17,"Lo Barnechea",13115,124076,3.44,0.37,103.4,17,13,41.6164416029739,369,266.200304387134,38.6174222638621,13,20,80,40,20,254.559849699864,320.473595533023,-31.0135908672455,-13.1507871184219,571.829388262001,201.927424159998,16.9764421089964,54.9673138921413,-45.2771208238488,-95.3993381818438
18,"Lo Espejo",13116,103865,12.07,1.74,11986.6,38,19,72.563653393963,541,584.848511581917,7.49741355471931,13,20,80,40,20,529.96244236854,595.876188201699,-2.04021397993713,10.1434728653788,666.845198173676,296.943234071673,111.992252020671,23.2615893112156,-45.1121563638313,-79.2990292013547
19,"Lo Prado",13117,104403,11.34,1.92,14672.9,25,19,71.0127025389883,607,569.439341057095,6.59607727017562,13,20,80,40,20,517.229876260404,583.143622093563,-14.7891472388132,-3.93021052824337,670.736326768689,300.834362666686,115.883380615684,10.5002185780378,-50.4391494783055,-80.9088335064771
20,"Macul",13118,134635,5.97,0.75,9074.2,14,19,62.6933407226051,494,463.827253588309,6.50516893482774,13,20,80,40,20,410.479912364107,476.393658197266,-16.9069003311524,-3.56403680217283,626.568638653319,256.666674551316,71.7156925003144,26.8357568124128,-48.0431832892073,-85.4826533400173
21,"Maipu",13119,578605,4.86,0.3,3788.7,13,20,61.0160258444334,321,439.683021920298,26.9928598566201,13,20,80,40,20,378.971719688651,444.88546552181,18.0597257597044,38.593602966296,620.718182204818,250.816218102815,65.8652360518133,93.3701502195695,-21.8641065100265,-79.4812348748245
22,"Nunoa",13120,250192,2.6,0.31,12353,6,13,52.987232598208,312,336.266829070882,7.21653965629967,13,20,80,40,20,327.95572979237,393.869475625529,5.1140159590928,26.2402165466438,563.336087646426,193.434123544423,8.48314149342142,80.5564383482135,-38.0018834793516,-97.2810443931342
23,"Padre Hurtado",13604,74188,8.08,0.57,780.2,22,20,58.4544343908814,386,432.130704954248,10.6751740677932,13,20,80,40,20,368.606433946837,434.520179779996,-4.50610519511995,12.569994761657,628.445868126116,258.543904024113,73.5929219731112,62.8098103953668,-33.0197139833905,-80.9344761727691
24,"Pedro Aguirre Cerda",13121,107803,10,1.07,11553.8,27,17,72.4993605259038,537,543.380151336176,1.17415980699464,13,20,80,40,20,505.706018032331,571.61976386549,-5.82755716343935,6.44688340139474,628.258965930881,258.357001828878,73.4060197778764,16.9942208437395,-51.8888264750693,-86.3303501344737
25,"Penalolen",13122,266798,8.47,1.15,4506.9,26,19,59.1549877231667,622,462.104926396839,34.6014648339517,13,20,80,40,20,408.354329447513,474.268075280672,-34.348178545416,-23.7511132989274,644.53481130845,274.632847206447,89.6818651554451,3.62296001743564,-55.8468091307964,-85.5816937049124
26,"Providencia",13123,157749,2.23,0.49,9873.1,3,13,48.0441358533318,280,306.381477232548,8.61066323945034,13,20,80,40,20,296.08673317513,362.000479008289,5.74526184826082,29.2858853601033,572.557206105176,202.655242003173,17.7042599521715,104.484716466134,-27.6231278560096,-93.6770500170816
27,"Pudahuel",13124,253139,8.11,0.8,1167.5,23,20,60.8579261445271,526,472.449053654844,11.3347557648572,13,20,80,40,20,411.110074625628,477.023820458787,-21.8421911358122,-9.3110607492801,638.829922928872,268.927958826869,83.9769767758671,21.4505556898996,-48.8730116298729,-84.0347952897591
28,"Puente Alto",13201,645909,6.78,0.39,6439.5,23,15,66.7800326989127,441,453.568393957846,2.77100303400195,13,20,80,40,20,428.473424202526,494.387170035685,-2.84049337811207,12.1059342484546,585.977817761721,216.075853659718,31.124871608716,32.8747886081,-51.0032077869121,-92.9422059844182
29,"Quilicura",13125,254694,7.11,0.36,3670.7,18,18,69.9482278012758,435,510.229846535209,14.7443053451436,13,20,80,40,20,464.90319503803,530.816940871189,6.87429770989204,22.0268829588941,607.679683759364,237.77771965736,52.8267376063586,39.6964790251411,-45.3384552511816,-87.8559223893429
30,"Quinta Normal",13126,136368,9.07,1.5,9311.9,24,17,68.0101737020225,572,518.14410856854,10.3939986078865,13,20,80,40,20,476.353772565665,542.267518398824,-16.7213684325761,-5.19798629391191,643.855190268506,273.953226166503,89.0022441155018,12.5620962007878,-52.1060793415204,-84.4401671126745
31,"Recoleta",13127,190075,13.17,3.04,10000.2,23,18,71.1520723372102,633,604.929252202521,4.64033565830629,13,20,80,40,20,557.934246432941,623.847992266101,-11.8587288415574,-1.44581480788302,707.63092620894,337.728962106936,152.777980055935,11.7900357360094,-46.6462935060132,-75.8644581270246
32,"Renca",13128,160847,10.57,0.99,6194.4,25,19,68.3895024933393,558,525.241252378871,6.2368954214395,13,20,80,40,20,471.855197538472,537.768943371631,-15.4381366418509,-3.62563738859656,634.579373667165,264.677409565162,79.7264275141604,13.7239020908899,-52.5667724793616,-85.7121097644874
33,"San Bernardo",13401,334836,9.42,0.8,1970.9,26,16,72.051171947399,431,503.545039234136,14.4068620643096,13,20,80,40,20,472.043595250558,537.957341083717,9.52287592820363,24.8160884184958,603.344610443309,233.442646341306,48.4916642903042,39.9871485947353,-45.8369730066576,-88.749033807354
34,"San Joaquin",13129,103485,9.56,1.41,9504.2,21,19,64.8129273045525,639,505.691955683219,26.3615117501076,13,20,80,40,20,454.540111349678,520.453857182836,-28.8669622300974,-18.5518220371148,650.744257023555,280.842292921551,95.8913108705497,1.83791189726991,-56.0497194175976,-84.9935350750313
35,"San Miguel",13130,133059,5.23,0.58,11229.8,17,19,57.8571275248948,496,432.98622157667,14.5532987617649,13,20,80,40,20,380.261649740256,446.175395573415,-23.3343448104323,-10.0452831505212,622.469921336449,252.567957234446,67.6169751834441,25.4979680113808,-49.0790408801521,-86.3675453259185
36,"San Ramon",13131,86510,12.67,1.91,13207.6,28,18,80.4994381793655,649,624.624548406774,3.90241652451868,13,20,80,40,20,580.907325965435,646.821071798594,-10.4919374475447,-0.335736240586484,659.802395570507,289.900431468504,104.949449417503,1.66446773043258,-55.331212408551,-83.8290524780427
37,"Santiago",13101,503147,10.62,2.77,17485.2,10,13,57.7715510103613,378,476.16266259951,20.6153632591878,13,20,80,40,20,465.484895196812,531.398641029971,23.1441521684689,40.58165106613,663.752046697745,293.850082595741,108.89910054474,75.5957795496679,-22.2618829111796,-71.1907141416033
38,"Vitacura",13132,96774,0.79,0.1,3003.8,4,13,44.3967816500713,229,269.130650495642,14.9112152115471,13,20,80,40,20,261.41024606749,327.323991900649,14.1529458810001,42.9362410046504,558.552266399053,188.65030229705,3.69932024604835,143.909286637141,-17.6199553287991,-98.3845763117693
